timestamp,location,potentialEvapotranspiration
2011-03-01T00:00:00,Lower,0.5616
2011-03-02T00:00:00,Lower,0.0
2011-03-03T00:00:00,Lower,0.0
2011-03-04T00:00:00,Lower,0.0
2011-03-05T00:00:00,Lower,0.0
2011-03-06T00:00:00,Lower,0.0
2011-03-07T00:00:00,Lower,0.0
2011-03-08T00:00:00,Lower,0.0
2011-03-09T00:00:00,Lower,0.0
2011-03-10T00:00:00,Lower,0.0
2011-03-11T00:00:00,Lower,0.0
2011-03-12T00:00:00,Lower,0.0
2011-03-13T00:00:00,Lower,0.0
2011-03-14T00:00:00,Lower,0.0
2011-03-15T00:00:00,Lower,0.0
2011-03-16T00:00:00,Lower,0.0
2011-03-17T00:00:00,Lower,0.0
2011-03-18T00:00:00,Lower,0.0
2011-03-19T00:00:00,Lower,0.3888
2011-03-20T00:00:00,Lower,0.216
2011-03-21T00:00:00,Lower,0.0
2011-03-22T00:00:00,Lower,0.0
2011-03-23T00:00:00,Lower,0.0
2011-03-24T00:00:00,Lower,0.0
2011-03-25T00:00:00,Lower,0.0
2011-03-26T00:00:00,Lower,0.0
2011-03-27T00:00:00,Lower,0.0
2011-03-28T00:00:00,Lower,0.0
2011-03-29T00:00:00,Lower,0.1728
2011-03-30T00:00:00,Lower,0.0432
2011-03-31T00:00:00,Lower,0.0
2011-04-01T00:00:00,Lower,0.2592
2011-04-02T00:00:00,Lower,1.512
2011-04-03T00:00:00,Lower,1.3824
2011-04-04T00:00:00,Lower,2.0304
2011-04-05T00:00:00,Lower,0.6912
2011-04-06T00:00:00,Lower,0.1296
2011-04-07T00:00:00,Lower,1.2096
2011-04-08T00:00:00,Lower,0.0
2011-04-09T00:00:00,Lower,0.0
2011-04-10T00:00:00,Lower,0.0
2011-04-11T00:00:00,Lower,0.216
2011-04-12T00:00:00,Lower,0.0
2011-04-13T00:00:00,Lower,0.0
2011-04-14T00:00:00,Lower,0.0
2011-04-15T00:00:00,Lower,0.0
2011-04-16T00:00:00,Lower,0.0
2011-04-17T00:00:00,Lower,0.0
2011-04-18T00:00:00,Lower,0.0
2011-04-19T00:00:00,Lower,0.0
2011-04-20T00:00:00,Lower,0.0
2011-04-21T00:00:00,Lower,0.0
2011-04-22T00:00:00,Lower,0.0
2011-04-23T00:00:00,Lower,0.0
2011-04-24T00:00:00,Lower,0.0
2011-04-25T00:00:00,Lower,0.0
2011-04-26T00:00:00,Lower,0.0
